Date,Adj Close**
1-Aug-00,"11,215.10"
1-Jul-00,"10,521.98"
1-Jun-00,"10,447.89"
1-May-00,"10,522.33"
1-Apr-00,"10,733.91"
1-Mar-00,"10,921.92"
1-Feb-00,"10,128.31"
1-Jan-00,"10,940.53"
1-Dec-99,"11,497.12"
1-Nov-99,"10,877.81"
1-Oct-99,"10,729.86"
1-Sep-99,"10,336.95"
1-Aug-99,"10,829.28"
1-Jul-99,"10,655.15"
1-Jun-99,"10,970.80"
1-May-99,"10,559.74"
1-Apr-99,"10,789.04"
1-Mar-99,"9,786.16"
1-Feb-99,"9,306.58"
1-Jan-99,"9,358.83"
1-Dec-98,"9,181.43"
1-Nov-98,"9,116.55"
1-Oct-98,"8,592.10"
1-Sep-98,"7,842.62"
1-Aug-98,"7,539.07"
1-Jul-98,"8,883.29"
1-Jun-98,"8,952.02"
1-May-98,"8,899.95"
1-Apr-98,"9,063.37"
1-Mar-98,"8,799.81"
1-Feb-98,"8,545.72"
1-Jan-98,"7,906.50"
1-Dec-97,"7,908.30"
1-Nov-97,"7,823.10"
1-Oct-97,"7,442.10"
1-Sep-97,"7,945.30"
1-Aug-97,"7,622.40"
1-Jul-97,"8,222.60"
1-Jun-97,"7,672.80"
1-May-97,"7,331.00"
1-Apr-97,"7,009.00"
1-Mar-97,"6,583.48"
1-Feb-97,"6,877.74"
1-Jan-97,"6,813.09"
1-Dec-96,"6,448.27"
1-Nov-96,"6,521.70"
1-Oct-96,"6,029.38"
1-Sep-96,"5,882.17"
1-Aug-96,"5,616.21"
1-Jul-96,"5,528.91"
1-Jun-96,"5,654.63"
1-May-96,"5,643.18"
1-Apr-96,"5,569.08"
1-Mar-96,"5,587.14"
1-Feb-96,"5,485.62"
1-Jan-96,"5,395.30"
1-Dec-95,"5,117.12"
1-Nov-95,"5,074.49"
1-Oct-95,"4,755.48"
1-Sep-95,"4,789.08"
1-Aug-95,"4,610.56"
1-Jul-95,"4,708.47"
1-Jun-95,"4,556.10"
1-May-95,"4,465.14"
1-Apr-95,"4,321.27"
1-Mar-95,"4,157.69"
1-Feb-95,"4,011.05"
1-Jan-95,"3,843.86"
1-Dec-94,"3,834.44"
1-Nov-94,"3,739.23"
1-Oct-94,"3,908.12"
1-Sep-94,"3,843.19"
1-Aug-94,"3,913.42"
1-Jul-94,"3,764.50"
1-Jun-94,"3,624.96"
1-May-94,"3,758.37"
1-Apr-94,"3,681.69"
1-Mar-94,"3,635.96"
1-Feb-94,"3,832.02"
1-Jan-94,"3,978.36"
1-Dec-93,"3,754.09"
1-Nov-93,"3,683.95"
1-Oct-93,"3,680.59"
1-Sep-93,"3,555.12"
1-Aug-93,"3,651.25"
1-Jul-93,"3,539.47"
1-Jun-93,"3,516.08"
1-May-93,"3,527.43"
1-Apr-93,"3,427.55"
1-Mar-93,"3,435.11"
1-Feb-93,"3,370.81"
1-Jan-93,"3,310.00"
1-Dec-92,"3,301.11"
1-Nov-92,"3,305.20"
1-Oct-92,"3,226.30"
1-Sep-92,"3,271.70"
1-Aug-92,"3,257.40"
1-Jul-92,"3,393.80"
1-Jun-92,"3,318.50"
1-May-92,"3,396.90"
1-Apr-92,"3,359.10"
1-Mar-92,"3,235.50"
1-Feb-92,"3,267.70"
